user_id,username,password,role
1,arjun1,Pass@9976,Manager
2,priya2,Pass@3607,Staff
3,karthik3,Pass@8777,Manager
4,sneha4,Pass@5246,Admin
5,rahul5,Pass@5543,Staff
6,ananya6,Pass@8939,Staff
7,vikram7,Pass@4919,Manager
8,divya8,Pass@8206,Admin
9,rohit9,Pass@5681,Admin
10,kavya10,Pass@5451,Manager
11,sanjay11,Pass@6238,Staff
12,meera12,Pass@2320,Admin
13,aditya13,Pass@3471,Admin
14,pooja14,Pass@7275,Staff
15,nikhil15,Pass@3503,Staff
16,aishwarya16,Pass@4505,Admin
17,manoj17,Pass@7797,Manager
18,neha18,Pass@6421,Staff
19,varun19,Pass@8633,Manager
20,swathi20,Pass@2020,Admin
